utterance,intentions
yes my destination is cambridge i would love to arrive by 0830,informtrainiddestinationarriveby
okay could you also help me with a a place to stay i am looking for a guesthouse with 3,informname
i need some information on a place called pizza,informfoodpricerangeareaname
can you give me the postcode and address,informaddresspostcode
yes im looking for colleges to see in town can you help me with,requestpricerange
i dont care about that but i would like the address and area of the college i,recommendareafeename
the gonville caius college would be a nice attraction could i get the address,informaddress
thank you i look forward to the day in town,bye
could you help me locate a restaurant in the east area of,requestfood
i am interested in an expensive restaurant  see whats available and maybe i can choose from,requestfood
italian would be great  i also need a train to cambridge that arrives on tuesday by,requestfood
any expensive restaurant will suffice reserve it for 8 people at 1830 on tuesday and ill need the reservation number,bookreference
i also need a train to cambridge departing from,requestday
ill be traveling tuesday and need it booked for 8 could i also get the reference number for that as,requestleaveatarriveby
anytime would be great id like to book it for the same number of people as my,offerbookleaveatreferencetickettrainid
reference number is iayfj8si that will be,bye
hi there i could use some help finding a place to stay that is 4 star,requestpricerange
price doesnt really matter  i would like free parking,informnameparkingstars
yes for 1 person for 5 nights starting on,requeststayday
what about 3,informreferencepostcodeaddress
i also need a,requestdestinationdeparture
i will be leaving cambridge headed to birmingham new,requestdayleaveatarriveby
i need to leave on sunday after 1600,offerbook
yes please and ill need the reference,offerbookreferenceticket
that will be everything thank,bye
okay good,welcome
hi there can you help me find a park to visit,requestarea
 can you please provide me with the postcode entrance fee and address of a park in the,select
could you book a table for me please i need a reservation for 8 people at 1545 on,bookreference
thats all i need thanks for the,welcome
thanks i will  that is everything i,bye
i would like to find the best most expensive restaurant in the south part of,requestfood
i dont,informpricerangenamefoodarea
could you please give me the address and phone number,informphonenameaddress
thanks bye,bye
i need a place to stay that includes,requestareapricerange
a hotel on the east side with free internet and parking if thats,informpricerangenameinternettypeparkingareastars
i need the postcode,informpostcode
no thanks but id like some information on a train,requestdeparture
i am departing from cambridge and need to arrive by,requestdestination
this will be on a friday and im going to,requestleaveat
i would like to arrive by 1200 which ever one is closest to,offerbook
yes  please book for me and three friends  i need the reference number as,offerbookreferenceticket
no that should be all  thank,bye
i am looking for a place to stay the hotel should be in the type of guesthouse and doesnt need to include,requestpricerange
it doesnt,informnameinternetareastars
no i need a guesthouse with free,informareapricerangenametypeinternet
no i just need to know if they have free,informparking
ok i would prefer something else with,recommendname
thanks does it have free wifi as,informparkinginternet
thanks thats all i need good,bye
im looking for entertainment in the,informareachoice
ok do you have any information about boat,informname
either one is fine i just want to attend some type of boat,informnamearea
actually can i have the post code address and information about the entrance,informpostcodeaddressfee
no thank you i do need to find a train going to cambridge,requestdaydeparture
the train should leave on friday and should depart from,requestleaveat
id like to arrive by 1845,offerbook
yes please book 8 seats on tr7878 leaving from leicester to cambridge on friday at 1609  can i have a reference number,offerbookreferenceticket
no that is,bye
i am looking for a restaurant the restaurant should serve modern american food and should be in the,informarea
do you have a similar restaurant that is close to,informnamefoodarea
yes i would like,requesttimedaypeople
im sorry i misread that you said north american if theres no modern american then can you try italian,requestpricerange
expensive italian will,recommendname
no thanks i just need the phone number,informphone
yes im also looking for a place to stay id like it to be in the north and same price range as the,requestareapricerange
is there anything in the moderate price,requeststars
yes i would prefer a 4 star and would like for it to have free,selecttype
i have no preference what do you,informname
what area is that in,informareapricerangeinternetstarsparking
get me their phone number and hotel,informphonetype
thank you very much for your time  have a nice,bye
im looking for places to go watch,requestarea
i dont mind the area can i get the address to one of,recommendaddressname
thanks i also need a train to broxbourne on,requestleaveatarriveby
yes i want to depart from cambridge any time after,offerbook
yes please  i need to book the train for 8,offerbookreference
fantastic thank you very much i dont need anything further,greet
im looking for a train departing from cambridge going to birmingham new,requestarrivebyleaveat
i need to leave after 1115 on,offerbooktrainid
not yet  what time will that arrive in,informtrainiddestinationarriveby
okay what is the price per,requestpeople
no tickets yet but i do need info on a swimming pool in the north i you could recommend,informchoice
yes please ill also need the entrance fee post code and,selectname
the outdoor pool,informphonenamepostcodeaddress
no that is all the help i need for today thanks,welcome
i need a taxi arriving by,requestdeparture
i am leaving from clare,requestdestination
i need to get to the parkside police station my boyfriend got himself arrested,informcarphone
great thanks for the,bye
i am looking for a moderate restaurant in the centre could you help me with,requestfood
yes i would love to have some new zealand cuisine if,requestfood
how about british,recommendname
no thank you  could i get the phone number and address,informphonenameaddress
yes im looking for a museum to go,selectarea
that sounds good thank,informname
that could work can i get the entrance fee address and postcode as,informfeepostcodeaddress
no thats all i needed thanks,bye
i am looking for colleges in town  any,requestarea
i have no,informchoice
none what you recommend i will go,recommendname
yes may i also know the area it is located in and the,informpostcodeareaname
i also want to find an expensive 3 star lodging with free wifi and in the type of,requestarea
it doesnt matter id just for sure like free wifi and a 3 star rating ill just need the phone,informphoneareaname
great thanks thats all i,bye
i am looking for a place to visit in town that is,selecttype
id like churches and any really old buildings  if you could give me the addresses of a few of those that would be,informnamefeeaddress
what is the post code for that place and the area of town it is,informnamepostcodearea
great i also need a gastropub restaurant in the east that is,informname
yes please  for 3 people at 1245 on,bookreference
thank you that is all i needed,bye
hi there ive heard of something fun to do in the city called nusha but im not sure where it is can you help me figure out how to get,informareaname
no i am familiar with the south side  thanks for your help  that is all i really need to know ,greet
oh wait can you help me find a train to,requestdeparturearrivebyday
im leaving on tuesday anytime after 1445 and im coming from,informtrainidleaveat
what is the travel time and what time will it arrive,offerbook
yes and i need the reference,offerbookreference
yes that is all i need right now thank,welcome
i am looking for a four star hotel in cambridge  it needs to include free,requestareapricerange
i would like a guesthouse with a star rating of 4 once we select lodging i would like you to send the postcode and,requestarea
if you could recommend one that would be great as long as it has free parking and is 4,recommendnamepricerangeparkingareastars
i dont need a reservation yet  could you give me the address and postcode for,informnamepostcodeaddress
yes i need a train that goes to cambridge and arrives by,requestdaydeparturearriveby
yes ill be coming in from london liverpool street on,offerbook
yes i would like a booking for one,offerbookreference
that will be all thank,bye
can you help me find a russian,requestfood
if you find a european restaurant i would also like the address and phone,informphonenamefoodaddress
thank you good,bye
hello id like some information on a restaurant in the,requestfoodpricerange
i would like somewhere expensive that serves chinese,recommendnameaddress
yes book it for friday 5 people at,bookreferencedaytimenamepeople
i am also looking to book a train the same,requestleaveatdestinationdeparture
it should go to cambridge and should arrive by,informleaveat
thats okay can you book,requestdeparture
i need to depart from london liverpool street on friday ineed to arrive in cambridge by,informtrainidarriveby
okay lets book it for five,offerbookreferenceticket
ok thankk you bye,bye
hello im sight seeing in cambridge and im looking for somewhere to eat on the,requestfood
any cuisine is fine but i would like it to be in the moderate price,recommendname
please book a table for 2 at 1915 on saturday with a reference number and l need a theatre in the same area as the,recommendname
that sounds great  can i get the phone,informphonename
what is the entrance fee to the cambridge arts,informfeename
thats okay can i get a taxi from cambridge arts theater to meghna by,informcarphone
no thank,bye
im looking for a hotel called the arbury lodge guesthouse do you have a listing for,informname
are you sure but if not book the super 5 for 8 people for 5 nights starting monday  i will need the reference,informname
thats great thanks i think thats all i need,greet
nope thats all i need thanks very,greet
thanks for the info,greet
are there any places that offer rooms in the north that also give free wifi or do you have to go to other parts of town for,requestinternet
the hotel should include free,requestpricerange
the hotel should have a star of 3 and doesnt need to have free,informname
perfect whats the price range and,informpostcodepricerange
thank you that will be all good,bye
i want a train leaving from,informchoicedeparture
i need it to leave after 1215 on,requestdestination
my destination is,informtrainiddestinationarrivebyleaveatdeparture
awesome book me one ticket,offerbookreference
i also need to find an attraction while im,requestareatype
it should be in the centre of town what type of attractions are,informareatype
you choose can you tell me the attraction type and phone,informphonenametype
no that was all thanks,bye
i am looking for a place to stay the hotel should be in the type of hotel and should have a star of,informareachoicepricerangename
do any of them have free wifi,selectarea
i really dont care you,recommendnameareaaddress
could i have the  area and,informpostcodenamearea
no thanks i do need the area and address of ballare please minus the,informphoneaddressnamepostcode
that should be all i need thank you for your,bye
theres nothing moderate in all of the centre area  or just bistro,informpricerangechoicearea
is there a gastropub in that area,informchoicename
yes lets book a table for 6 people at 1445 on,bookreference
i also need a hotel room for two nights and 1 person and must have free,requestarea
in the centre,requestpricerange
not price specific but i want something 0,recommendparkinginternetstarsname
does it have,informinternet
could i have the phone number and type of hotel also need a taxi to the restaurant and arrive by the booked time provide the contact number and car,informphone
yes i want to book a taxi to commute between the two,requestdestination
thank you i appreciate your quick,informcararrivebyphone
i am looking for a train out of kings lynn,requestdestination
i want to go to,requestday
i would like to leave after 1415 on tuesday,informtrainidleaveat
yes please give me travel,informtime
great thats all i need,bye
yes i would prefer an expensive one,select
no not yet thanks  could you give me the addresspostcode for peking,informnameaddresspostcode
no thats all ,bye
im needing a place to stay that is in the centre of,requestpricerange
i dont care about the price range but i need free parking,requestpricerangetype
i would prefer a hotel with 4 stars please are either of those 4 stars with free parking and also do either have free,recommendname
i dont want to book it right now can i get the phone number and postcode,informphonepostcode
great that is wonderful have a great,greet
where can i find the express by holiday inn in,informareaaddressphone
okay can i book 4 nights at the express,greet
6 people 4 nights starting on,inform
could i please get the reference number after you book,bookreference
im also looking for a restaurant called the golden curry can you help me book a table,greet
for 6 people on friday at 1215,bookdayreferencetimenamepeople
thanks no thats all i will be needing see you,welcome
im looking for some architecture in the,informtypearea
do you have any attractions in the type of a museum then in the west,selectname
yes can you tell me about the kettles yard what is the address and entrance,informaddressfee
great could i also find a moderatelypriced brazilian,requestpricerangefood
well lets give chinese food a,requestarea
nope can you choose one for me and book a table for 8 at 1145 on,bookreferencename
can i have the reference,bookreference
that is perfect thank you i think that will be everything,bye
i am looking for a cheap,requestarea
i want somewhere in the center,requestfood
i made a mistake i am looking for a cheap restaurant in the north part of,selectfood
i prefer indian,informnameareafoodpricerange
is there anything,informfoodareapricerange
how about that italian,informaddressareafoodnamepricerange
thank you for the information,bye
i think that covers everything thanks so much for your,bye
im looking for a place i think its called the arbury guesthouse and lodge can you help,informareanamepricerangetypestars
what is their,informaddress
can you book it for me and get a reference number,requesttimestaydaypeople
can you find a train for me as,requestpeoplestayday
i also need a,requestdaydeparture
departing from stevenage going to cambridge friday want to leave after 1245 i want the train id price and travel time,offerbook
nope thats all i needed,bye
i cant find a restaurant i am looking,requestname
the good luck chinese,informaddressphone
yes please book a table for my party of 8 for 1245 on,bookreference
yes i am also looking for a hotel named kirkwood,recommendtype
yes please for 5 people for 5 nights from monday,bookreference
i also need a taxi between the two,requestleaveat
i want to arrive in time for my lunch,informphonecar
no thats all i needed thank you for your help its much,bye
i would like a moderately priced restaurant in the north part of,select
can i have the phone number of the chinese place,informpricerangenamefoodphonearea
ok  thank,bye
i would like a train going to kings,select
i dont want to leave until after,requestdeparture
from,requestday
ill be leaving on,requestleaveat
i would like to leave after,requestpeople
i just need one ticket for myself can i get a reference,offerbookticketreference
oh no thats not good i really wanted them to book a hotel that matches my criteria oh,requestareastars
how about a guesthouse,requestareastars
yes that does sound,informstarsareanameparking
book for the same number of people and 2 nights starting,informpeople
yes 1 person,booknamestaydayreference
that is all i,bye
what are some places i could visit that are in,requesttype
i would like to visit a park on the north,informpostcodephonenameaddressarea
ok great thanks  i also need to find a train going to,informchoice
i need a train to leave on tuesday after 1800 from london liverpool street going to,offerbook
i would like the travel time arrival time and price,informarrivebytickettime
thank you i would like to book that,requestpeople
that was all the info i needed today thank,offerbookleaveatticketarrivebydestinationtrainid
thank you thats all i need for,bye
i want to find out about expensive restaurants in the,requestfood
expensive and in the cetre of town and i need you to book it for 6 at 2000 on,requestfood
i do not care about the kind of food surprise,bookreference
get me a hotel in the same area with the same price range for 5 staying for 2 nights with a taxi that arrives at the restaurant by the booked,recommendname
great id love to book,bookreference
please book a taxi to take me from my hotel to the restaurant in time for my reservation give me contact number and car type,informcardestinationdeparturephone
that is all thank you so much for your,welcome
thanks you too,bye
im looking for an expensive hotel in the south to stay,informchoiceinternetnameparkingstars
yes please book me a,requestdaytimepeoplestay
can you book the hotel for 4 people 3 nights on,bookreference
thanks for your help thats all i,bye
i need to get a train ticket for friday,requestdeparturedestination
i need to get to cambridge from broxbourne and id like to leave after,informleaveat
yes if i could please get the reference,informreference
thank you can you please book a room for 1 person for 4 nights starting friday at hamilton,bookreference
thats it thank you for your,bye
i would like a cheap restaurant in the east part of town,informpricerangechoiceareaname
address and phone number,informaddressnamephone
thank you good,bye
thanks so much  bye,bye
im hoping you can help me find an expensive hotel on the north,requestareapricerange
perhaps you could check the moderate price range in the north area of,recommendname
okay great ill need it booked for sunday 5 nights and 5 people,bookreferencename
yes im also looking for a place to dine id like for it to be in the north and serve modern american,requestarea
okay can you look out for any in still the same location with the hotel that serves asian oriental,informfoodname
no thank you i just need the price range and,informpricerangepostcodename
thats all,bye
im looking for a hotel with free parking in the,requestpricerange
i would like a moderately priced hotel preferably a,requeststars
that doesnt matter can you book a room for 4 people at your favorite well arrive on friday and stay for 3,bookreference
yes i also need to find a train going to bishops,requestdayleaveat
yeah we need to leave after 1500 on sunday from,offerbook
yeah get me 4 tickets please and then tell me the reference,offerbookreference
i am all taken care of now thank you see,bye
am looking for a trainit should go to cambridge and should depart from,requestarrivebyleaveatday
yes i would like travel on monday and i would need to arrive by,informarrivebydaydeparturetrainid
what is the price for the,informticket
what time does the train,informleaveat
thanks thats all good,bye
im looking for a train to stevenage leaving on,offerbook
no i need to leave some time after 1430 and ill be traveling to,requestdeparture
im leaving from cambridge and going to,offerbook
before we do that are there any attractions that feature a swimming pool in,select
what is the name entrance fee and phone number of the one in the,informfeephonename
do you have entrance fees for any of the,informchoicefeetype
no thank you that is all the information i need,bye
hello i am seeking a restaurant in the west side of cambridge to eat at please only suggest expensive,requestfood
i would like to eat british,recommendname
yes please  i need a table for 7 at 1530 on,bookreferencedaytimepeople
yes i need a place to stay  something that is expensive and has free,requestarea
im not really set on an area however please make sure that they are a 4 star hotel with free,recommendname
yes please  book it for he same group of people and 3 nights starting from the same,bookreference
i also want a taxi to get to the hotel after the,requestleaveat
wait i want it to go to the restaurant by,informphonecar
thank you so much for all the,bye
hey i need a moderately priced place to,requestarea
the area doesnt matter but i do need free,selecttype
a hotel is fine whichever you,informstarspricerangenameinternet
yes please for 3 people on,requeststay
i need to stay for 2 nights with 3 people from,bookpeoplereferencedaystay
thank you im also looking for some places to go in town something along the lines of college i also need the address and,informaddresspostcodename
thank you for your,bye
i meant train  i need a train ticket for,requestdeparture
i am departing from cambridge and going to bishops,requestleaveat
what is the first train after,informtrainidleaveat
could you give me the arrival time and price also,offerbook
yes please book the train for 1,offerbookreference
im confused did i ask you to book a ticket i can book my own passage thank you very,welcome
thank you also have a nice,welcome
okay thanks,bye
i need a place to,requestareapricerange
id like it to be in the south and have free wifi and,recommendname
yes i would like to book for 7 people and 4 nights starting from,bookreference
i am also looking for an attraction in the same area as the,requesttype
not really is there something you can,recommendtypename
what is byard arts,informpostcode
what is the phone nymber to,informphone
i want to leave the attractinon by 2030 get me a car and contact,informcarphone
thanks again you are of great,bye
im looking for some entertainment in the center of,requestarea
no but are there any theatres in the center of,recommendaddressname
yes could you also give me the postcode and entrance fee for the mumford,informpostcode
could you help me find a good 4 star,informstarsnamearea
yes can you book it for three people for one,requestday
actually could you make sure it offers free parking  i will need it for 4 people 4 nights starting on tuesday if there is free,informparking
can you try 3,bookreferencestay
can you also set up a taxi to take me from mumford theatre to the hotel i want to leave the theatre by,bye
i need a restaurant that serves indian food in the moderate price,requestarea
i would like the one in the,informnamefood
yes i would like a reservation for 1 person at 1315 on,bookreference
i would like to go to a nice,informareaname
okay what is the address and entrance fee for,informfeeaddressnamepostcode
i am also going to need a taxi that goes from ballare to meghan and gets me to meghan by 1315 for my,informphonecar
no thank you that is everything that i,greet
i need a train to,requestdepartureday
i will board at kings lynn before 1330 on,offerbook
i would like the train that arrives closest to 1330 please  i will also need the departure,offerbook
no ,bye
where can i find a vietnamese restaurant in west,informareaname
yes please i need a table for 8 on thursday at,requestdaytime
how about a table for 8 on thurday at,bookreferencetimepeople
yeah i need a place to go i want to go to the museum and it should be in the west,informnamechoiceaddresstypefee
just the postcode for the cambridge and country folk museum,informpostcode
thank you i also need a taxi to get between the restaurant and the,requestarriveby
by 1600 and i need the contact number and car type,informphonecar
i want to make sure that it will arrive by 1600 can you please,inform
no that will be all i need,bye
hi im really excited about visiting soon and would like to go to a restaurant in the centre that serves european food can you help,requestpricerange
i would like the price range to be,informname
yes i would like to book a table for 6 people at 1915 on monday,bookreferencedaytimenamepeople
yes can your recommend any good architecture to look at in the same,recommendname
that sounds good can you give me the address and postcode,informaddressnamepostcode
no that is all thank you for all of the,bye
im looking for a place to dine thats in the cheap price range and that serves indian,requestarea
id like a recommendation that is able to book a table for 5 people at 1445 on,booktimepeopledaynamereference
thanks id also like to find an attraction in the east,recommendnameaddress
that sounds great can you give me their postcode and phone,informpostcodephone
ill need to book a taxi from the cambridge museum of technology to the kohinoor arriving by,informcarphone
no you have been very helpful  thanks so much and have a nice day ,bye
hi can you help me find a,requestarea
the north part of town,requestpricerangefood
north and moderate looking for basque,requestfood
how  about chinese,informchoice
yes i want a reservation for 7 people this friday at 1715,requesttime
is it available on,bookreference
can i also have a train,requestdaydeparturedestinationleaveat
i will be leaving from kings lynn to cambridge and i want to arrive by,requestday
ill be traveling on saturday please choose a train and tell me the price departure time and train,offerbooktrainidticketreference
no that will be all i needed today thank you and,bye
hi i am looking for a place to eat in the centre of,requestfood
it should serve portuguese food in the cheap price,informname
yes i need a table for two on,requesttime
book it for 1530,requesttime
i want to find a restaurant serving gastropub food in the centre of,selectpricerange
moderately priced,informname
that sounds great could you book me a table for 8 people at 1445 on tuesday,requesttimeday
how about at 1345 for 8 people on,booktimereference
im also looking for a train to birmingham new street leaving after,requestdaydeparture
oh yes of course im leaving from cambridge on,offerbook
yes book the 1401 for the same group of people ill need a reference number,offerbookreferencetickettrainid
thank you very much for you help have a great,bye
yes i need some train information  looking to depart cambridge and arrive by,offerbook
no thank you does that leave on tuesday and go to birmingham new,offerbook
yes please i will need a ticket for one and the reference,offerbookreferencetickettrainid
yes i am also looking for a place to stay in the south of town are there any guesthouses,requestpricerange
i would prefer something on the cheaper,recommendinternetareanamestarspricerangeparking
no not today i think that is everything i need thank,bye
i am needing to find a place to stay while traveling in cambridge i would like a guesthouse that is 4,requestareaparking
i dont care about the part of town but i do want free,requestareapricerange
like i said i needed a guesthouse with 4 stars location and price dont,informname
please do it will be a 3 night stay for 4,requestday
on wednesday,bookreference
i am also hoping to find a place to eat in the centre that isnt too expensive do you have any suggestions for modern european,select
give me the postcode phone number and address of one of the moderately priced,informaddresspostcodenamephone
perfect thats all i need thank,bye
looking for places to go in town the attraction should be in the type of,requestarea
how about,informnametypearea
yes i also need the entrance fee and the,informnamephonefee
rather than a guest house do you have a hotel that meets those,informareachoice
how about a hotel instead of a,informareapricerangestarsnametype
no i just need an,informaddressnamepostcode
is that a hotel or a,informnamepricerangestarsareatype
no get me their address,informaddress
no that is all for,welcome
can you give me some information on the allenbell its a,informareapricerangetypephonestars
i need it for 5 people and 5 nights starting from sunday i will also need the reference,bookreference
im also looking for a museum in the east area can you help me find,informtypenamearea
yes can i have the postcode for,informpostcodename
well i also need to book a taxi  i want to leave the hotel by,requestdeparture
i want to go to the cambridge,informphonecar
no thank you very,bye
i want crossover food at an expensive price can you,requestfood
is there something else in the,select
actually id prefer a european,recommendfoodname
please book for 1 person sunday at,requesttimeday
how about sunday at 1645 please for 1,booktimereferenceday
thats all thanks for the,bye
hi i want to find out about the man on the moon attraction,informareanametype
yes can i get the postcode and its a concerthall you,informpostcodetype
excellent i also need a cheap guesthouse,recommendnamepricerangearea
i need free parking and,informinternetparkingstarsname
yes please for 6 people for 3 nights starting on,requestarea
how about for 2 nights,requesttype
please try for one,bookpeoplenamereferencestay
no that was it thank you so much for your,welcome
no that is all thank,greet
great have a nice,bye
im looking for attractions that are in the centre could you help me find,requesttype
anything that you recommend i need the postcode and entrance,recommendfeepostcodename
no but a thank you for helping,bye
i want to leave from stansted,requestleaveatarriveby
i would like to get to the airport by,informdeparturedestinationleaveat
that would be great i just need 1 ticket and my reference number,offerbookticketreference
no that will be everything thank you,bye
can you help me find a restaurant the has indian,requestareapricerange
id like it to be in the cheap price range and any area of,informchoicearea
i would like a recommendation i will need to book a,informarea
that sounds good  please book a table for 2 people at 1700 on,bookreference
thank you i also need a train from cambridge to kings lynn on sunday i dont want to get home late so need to be there by,selectleaveat
a little later in the day,offerbook
ok i will book it for,offerbookreference
can i get the departure time and the price of the ticket,informleaveatticket
this is great thanks for your,bye
what time of entertainment places are there in the center of,informtype
are there any swimming pools near,informnamepostcodeaddressarea
great im assuming cb11ly is the postcode may i also have the phone number,informphone
thank you i also need a place to eat in the centre of town in the moderate price,informnameaddresschoice
how about someplace with european,informfoodareachoice
could you recommend one for me and give me the phone number and,recommendpostcodenameaddress
yes thank you  can you arrange a taxi for me to get there by,requestdeparture
i dont care about that right,requestdeparture
gonville place is from where ill be,requestleaveat
i need to leave the restaurant by 1330,informarrivebyphonecar
yes thats all thanks for the,bye
look for a hotel within the cambridge area that has an expensive price,select
that sounds good does it have a 4 star rating and,informinternetstars
does it also have free,informparking
if that one is in the expensive price range id like to book a room for 2 nights starting sunday,requestpeople
there will be two people for two,bookreferenceday
yes i am looking for an indian restaurant in the east part of,selectname
i would like one in the same price range as the,select
book sitar tandoori 2 people 1445,bookreference
great thats all i need thanks so much for your help have a great,bye
good evening can you help me find a guesthouse to stay at for the,recommendareaname
does it have free,informinternetparking
could i get the phone number for,informphone
thanks oh i forgot to ask is that in the moderate price,informnamepricerange
no ill have to think about it thanks though,bye
hi im looking for a basque restaurant in the west part of,requestfood
how about,informpricerangenamefoodarea
i need the address and phone number,informphonenameaddress
which part of town it is in,informarea
no thanks  i have everything i need ,bye
id like to visit a park in the south part of town can you recommend one to,informareaname
yes please i would also like the entrance fee and phone number for it as,informfeephone
i am looking for a restaurant that serves northern european food  i would like it to be in the south,requestareafood
that sounds good i want to book a table for 7 people at 1830 on saturday please include a reference,bookreference
can i please get the address for,informaddress
thats all thank you very,bye
thanks you,informpostcodenameaddress
i believe youve given me all the information i need thank you and,bye
im trying to plan a trip there i need to find a cheap,selectfood
